product_code,category_id,category,brand,style,size,product_description,n_obs,n_stores,n_weeks,total_units,unique_prices,mean_price,std_price,promo_rate,price_cv,coverage_rate
7248001103,27,beer,SCHAEFER,UNKNOWN_STYLE,24/12O,SCHAEFER BEER CANS,18,4,17,221.4466,2,1.0489779,0.018982463,0.0,0.018096153,0.005960264900662252
7262010105,27,beer,RANIER,DRAFT,20/12O,RANIER DRAFT REGULAR,32,4,27,411.66354,5,1.1213437,0.08188256,0.0,0.07302182,0.010596026490066225
7262010106,27,beer,RANIER_C,LIGHT,20/12O,RANIER DRAFT LIGHT C,16,3,16,134.8553,2,1.1169437,0.07218978,0.0,0.06463153,0.005298013245033113
7272001431,27,beer,CARLINGS_BLK,UNKNOWN_STYLE,6/12 O,CARLINGS BLK LABEL R,295,3,150,4190.4507,3,1.197122,0.037919313,0.0,0.031675395,0.09768211920529801
7272001435,27,beer,CARLINGS_BLK,UNKNOWN_STYLE,24/12O,CARLINGS BLK LABEL R,36,3,36,459.92755,5,1.0496,0.07181065,0.0,0.068417154,0.011920529801324504
7278300100,27,beer,ANCHOR,UNKNOWN_STYLE,6/12 O,ANCHOR STEAM BEER NR,75,3,63,668.5983,1,2.954,0.0,0.0,0.0,0.024834437086092714
7278300300,27,beer,ANCHOR,UNKNOWN_STYLE,6/12 O,ANCHOR STEAM ALE NR,28,1,28,127.757645,1,2.954,0.0,0.0,0.0,0.009271523178807948
7289000007,26,imported_beer,HEINEKEN,UNKNOWN_STYLE,21.6 O,HEINEKEN KINGSIZE N.,282,14,31,878.9726,1,3.1153,0.0,0.0,0.0,0.09337748344370861
7289000011,26,imported_beer,HEINEKEN,UNKNOWN_STYLE,6/12 O,HEINEKEN BEER N.R.BT,2954,20,150,71882.84,53,2.8534558,0.24606283,0.1814488828706838,0.08623327,0.9781456953642385
7289000012,26,imported_beer,HEINEKEN,DARK,6/12 O,HEINEKEN DARK BEER N,1201,20,150,5299.813,13,2.7540903,0.30219162,0.32556203164029973,0.109724656,0.397682119205298
7289000016,26,imported_beer,HEINEKEN,UNKNOWN_STYLE,12/12O,HEINEKEN NR BTLS.,1705,20,150,29354.45,18,2.8217208,0.23084767,0.15894428152492668,0.08181095,0.5645695364238411
7289010011,26,imported_beer,AMSTEL,LIGHT,6/12 O,AMSTEL LIGHT BEER NR,2222,20,150,17302.645,21,2.8197546,0.26967826,0.22772277227722773,0.095638916,0.7357615894039735
7289010016,27,beer,AMSTEL,LIGHT,12/12O,AMSTEL LIGHT BEER NR,751,20,148,5740.5767,9,2.7851462,0.26568967,0.2210386151797603,0.09539523,0.24867549668874173
7336010122,27,beer,WINDY_CITY,UNKNOWN_STYLE,6/12 O,WINDY CITY ALE NR 6P,182,12,49,726.08923,3,2.4338076,0.11717531,0.0,0.048144855,0.06026490066225165
7336011107,27,beer,OLD_STYLE,DRAFT,6/12 O,OLD STYLE DRAFT LNNR,168,19,30,623.8831,5,1.8109738,0.136573,0.13690476190476192,0.07541413,0.05562913907284768
7336011110,27,beer,OLD_STYLE,DRAFT,6/12 O,OLD STYLE DRAFT,175,16,30,628.1417,6,1.7973268,0.07878317,0.0,0.043833524,0.057947019867549666
7336011112,27,beer,OLD_STYLE,DRAFT,12/12O,OLD STYLE DRAFT,201,16,27,2154.8457,10,1.4251835,0.22052136,0.7064676616915423,0.1547319,0.06655629139072848
7336011114,27,beer,OLD_STYLE,DRAFT,24/12O,OLD STYLE DRAFT,481,20,30,18848.512,17,1.2329156,0.09266843,0.683991683991684,0.075162016,0.15927152317880794
7336011116,27,beer,OLD_STYLE,DRAFT,12/12O,OLD STYLE DRAFT N.R.,139,17,26,2090.9668,10,1.3625216,0.25844818,0.6618705035971223,0.18968372,0.04602649006622517
7336011209,27,beer,OLD_STYLE,UNKNOWN_STYLE,40 OZ,OLD STYLE BEER N.R.B,1545,14,150,13888.912,13,1.5676192,0.07701739,0.0,0.049130164,0.5115894039735099
7336011214,27,beer,OLD_STYLE,UNKNOWN_STYLE,30/12O,OLD STYLE 30PK CANS,584,20,65,200611.45,19,1.0679137,0.07023668,0.5188356164383562,0.06577,0.19337748344370861
7336011301,27,beer,OLD_STYLE,UNKNOWN_STYLE,24/12O,OLD STYLE BEER,2255,20,150,545840.3,100,1.3038514,0.0927215,0.40221729490022173,0.07111355,0.7466887417218543
7336011341,27,beer,OLD_STYLE,UNKNOWN_STYLE,12/12O,OLD STYLE BEER,2845,20,150,97508.9,61,1.6667116,0.12880222,0.08787346221441125,0.077279255,0.9420529801324503
7336011356,27,beer,OLD_STYLE,UNKNOWN_STYLE,24/16O,OLD STYLE PARTY PACK,350,20,53,95028.98,33,0.987524,0.06655059,0.5085714285714286,0.067391366,0.11589403973509933
7336011358,28,nonalcoholic_beer,O_S,UNKNOWN_STYLE,6/12 O,O S RYL AMBR N.R. NO,884,20,61,6866.9736,15,1.7173916,0.20087382,0.3721719457013575,0.11696448,0.29271523178807946
7336011370,27,beer,OLD_STYLE,UNKNOWN_STYLE,20/12O,OLD STYLE CAN,320,20,38,17112.428,9,1.1215044,0.022221513,0.015625,0.019814022,0.10596026490066225
7336011372,27,beer,OLD_STYLE,UNKNOWN_STYLE,30/12O,OLD STYLE 30PK CANS,584,20,43,328773.66,24,1.0228724,0.097670116,0.5753424657534246,0.09548611,0.19337748344370861
7336011401,27,beer,OLD_STYLE,UNKNOWN_STYLE,6/12 O,OLD STYLE CLASSIC DR,682,18,117,2612.6438,10,1.737147,0.06002233,0.0,0.034552246,0.22582781456953643
7336011402,27,beer,OLD_STYLE,UNKNOWN_STYLE,6/12 O,OLD STYLE CLASSIC DR,462,18,114,1332.938,6,1.7453139,0.056322005,0.0,0.032270417,0.15298013245033112
7336011403,27,beer,OLD_STYLE,UNKNOWN_STYLE,12/12O,OLD STYLE CLASSIC DR,523,17,102,3636.8342,7,1.675367,0.08514982,0.04397705544933078,0.050824575,0.17317880794701987
7336011404,27,beer,OLD_STYLE,UNKNOWN_STYLE,12/12O,OLD STYLE CLASSIC DR,340,16,95,2061.1567,5,1.6723791,0.087694585,0.05,0.052437026,0.11258278145695365
7336011405,27,beer,OLD_STYLE,UNKNOWN_STYLE,24/12O,OLD STYLE CLASSIC DR,845,20,81,43778.29,8,1.2418492,0.15051791,0.3337278106508876,0.12120466,0.27980132450331124
7336011406,27,beer,OLD_STYLE,DRAFT,24/12O,OLD STYLE CLSSC DRFT,611,20,88,15467.192,10,1.2336042,0.1516887,0.3502454991816694,0.12296383,0.20231788079470198
7336011411,27,beer,OLD_STYLE,UNKNOWN_STYLE,6/12 O,OLD STYLE CLASSIC DR,1346,20,116,13876.609,11,1.69748,0.1905749,0.3588410104011887,0.112269305,0.4456953642384106
7336011412,27,beer,OLD_STYLE,DRAFT,6/12 O,OLD STYLE CLSC DRAFT,1062,20,115,7825.156,10,1.678031,0.19631194,0.4058380414312618,0.116989456,0.35165562913907283
7336011421,27,beer,OLD_STYLE,UNKNOWN_STYLE,30/12O,OLD STYLE CLASSIC DR,423,20,43,24103.61,10,1.0704892,0.06235822,0.5153664302600472,0.058252078,0.1400662251655629
7336011422,27,beer,OLD_STYLE,UNKNOWN_STYLE,30/12O,OLD STYLE CLASSIC DR,378,19,46,16214.574,6,1.0692849,0.06434289,0.5423280423280423,0.06017376,0.1251655629139073
7336011423,27,beer,OLD_STYLE,UNKNOWN_STYLE,4/12 O,OLD STYLE CLASSIC DR,64,14,19,10554.201,1,0.7679,0.0,0.0,0.0,0.02119205298013245
7336011424,27,beer,OLD_STYLE,UNKNOWN_STYLE,4/12 O,OLD STYLE CLASSIC DR,65,14,23,4480.0347,1,0.7679,0.0,0.0,0.0,0.02152317880794702
7336011425,27,beer,OLD_STYLE,DRAFT,4/12 O,OS CLASSIC DRAFT 4PK,136,13,23,3611.283,1,1.1201,0.0,0.0,0.0,0.045033112582781455
7336011426,27,beer,OLD_STYLE,LIGHT,4/12 O,OS CLASSIC DRFT LT 6,104,13,17,1449.3395,1,1.1201,0.0,0.0,0.0,0.03443708609271523
7336011431,27,beer,OLD_STYLE,UNKNOWN_STYLE,20/12O,OLD STYLE CLASSIC DR,307,19,35,19589.506,14,0.97963774,0.031070592,0.11074918566775244,0.03171641,0.10165562913907285
7336011432,27,beer,OLD_STYLE,UNKNOWN_STYLE,20/12O,OLD STYLE CLASSIC DR,232,17,30,8680.423,9,0.97817284,0.01979756,0.1206896551724138,0.020239327,0.07682119205298013
7336011439,27,beer,OLD_STYLE,UNKNOWN_STYLE,20/12O,OLD STYLE CLASSIC DR,143,15,26,2136.3918,2,1.1247146,0.011782651,0.006993006993006993,0.010476125,0.04735099337748344
7336011440,27,beer,OLD_STYLE,UNKNOWN_STYLE,20/12O,OLD STYLE CLASSIC DR,107,15,26,1455.0177,2,1.1250421,0.006805825,0.009345794392523364,0.006049396,0.03543046357615894
7336011441,27,beer,OLD_STYLE,UNKNOWN_STYLE,30/12,OLD STYLE CLASSIC DR,370,20,38,30725.715,8,1.005626,0.102687836,0.6405405405405405,0.10211335,0.12251655629139073
7336011442,27,beer,OLD_STYLE,UNKNOWN_STYLE,30/12O,OLD STYLE CLASSIC DR,296,19,33,18865.545,11,1.0001254,0.103814386,0.6587837837837838,0.10380137,0.09801324503311258
7336011522,27,beer,OLD_STYLE,ICE,24/12O,OLD STYLE ICE,22,13,3,570.6508,2,1.2689545,0.11815987,0.5909090909090909,0.09311592,0.00728476821192053
7336011524,27,beer,OLD_STYLE,ICE,12/12O,OLD STYLE ICE NR BTL,5,4,2,76.65459,1,1.7823,0.0,0.0,0.0,0.0016556291390728477
7336011528,27,beer,OLD_STYLE,ICE,6/12 O,OLD STYLE ICE LN NR,15,7,3,117.111176,2,1.6734734,0.1940623,0.5333333333333333,0.11596378,0.004966887417218543
7336011638,27,beer,OLD_STYLE,UNKNOWN_STYLE,12/12O,OLD STYLE BEER N.R.B,3,1,3,21.292942,1,1.5944,0.0,0.0,0.0,0.0009933774834437086
7336011661,27,beer,OLD_STYLE,REGULAR,6/12 O,OLD STYLE REG LONG N,2801,20,150,53317.523,43,1.746262,0.17898275,0.22099250267761514,0.10249479,0.9274834437086092
7336011670,27,beer,OLD_STYLE,UNKNOWN_STYLE,8/7OZ,OLD STYLE BEER,963,16,118,3588.8071,3,2.1079729,0.08513883,0.0,0.040388957,0.31887417218543046
7336011751,27,beer,OLD_STYLE,UNKNOWN_STYLE,6/12 O,OLD STYLE BEER,2949,20,150,70388.08,39,1.7530829,0.077340886,0.002034587995930824,0.044117074,0.9764900662251655
7336011754,27,beer,OLD_STYLE,UNKNOWN_STYLE,6/16 O,OLD STYLE BEER,2618,20,150,88098.836,48,1.5342256,0.26153874,0.3292589763177998,0.17046955,0.866887417218543
7336011905,27,beer,OLD_STYLE,UNKNOWN_STYLE,32 OZ,OLD STYLE BEER,1934,18,150,6791.0293,7,1.8378029,0.09178719,0.0,0.04994398,0.6403973509933775
7336011906,27,beer,OLD_STYLE,UNKNOWN_STYLE,12/12O,OLD STYLE BEER N.R.B,1760,20,150,29963.428,27,1.6519828,0.1558376,0.08636363636363636,0.09433367,0.5827814569536424
7336013301,27,beer,SPECIAL_EXPORT,UNKNOWN_STYLE,24/12O,SPECIAL EXPORT CAN,4,3,2,76.65459,1,1.4077,0.0,0.0,0.0,0.0013245033112582781
7336013611,27,beer,SPECIAL_EXPORT,REGULAR,6/12 O,SPECIAL EXPORT REG N,1497,20,89,40761.08,31,1.7856282,0.18816146,0.37808951235804944,0.1053755,0.4956953642384106
7336013670,27,beer,SPECIAL_EXPORT,REGULAR,8/7OZ,SPECIAL EXPORT REG N,173,7,64,478.61804,1,2.047,0.0,0.0,0.0,0.05728476821192053
7336013751,27,beer,SPECIAL_EXPORT,REGULAR,6/12 O,SPECIAL EXPORT REG C,69,4,36,319.3941,2,1.8922783,0.047800113,0.0,0.025260614,0.0228476821192053
7336013752,27,beer,SPECIAL_EXPORT,REGULAR,12/12O,SPECIAL EXPORT REG N,655,18,75,11924.047,13,1.7197491,0.2064741,0.3801526717557252,0.12006059,0.21688741721854304
